;eV;e1;e2
320;4.2;13.484;7.6151
321;4.19;13.58;7.4412
322;4.18;13.667;7.2623
323;4.17;13.745;7.0793
324;4.16;13.814;6.8931
325;4.15;13.872;6.7047
326;4.14;13.921;6.5154
327;4.13;13.961;6.3255
328;4.12;13.991;6.1359
329;4.11;14.012;5.9477
330;4.1;14.024;5.7613
331;4.09;14.029;5.577
332;4.08;14.026;5.3962
333;4.07;14.015;5.2185
334;4.06;13.998;5.0446
335;4.05;13.975;4.875
336;4.04;13.946;4.7095
337;4.03;13.912;4.5489
338;4.02;13.873;4.3927
339;4.01;13.83;4.2414
340;4.0;13.784;4.0951
341;3.9934;13.751;4.0018
342;3.99;13.734;3.9537
343;3.9859;13.712;3.8966
344;3.98;13.681;3.8171
345;3.9783;13.672;3.7948
346;3.9708;13.631;3.696
347;3.97;13.626;3.6857
348;3.9633;13.588;3.6004
349;3.96;13.569;3.5591
350;3.9558;13.545;3.508
351;3.95;13.511;3.4376
352;3.9484;13.501;3.4186
353;3.941;13.457;3.3324
354;3.94;13.451;3.3209
355;3.9336;13.413;3.2491
356;3.93;13.391;3.2092
357;3.9263;13.368;3.1686
358;3.92;13.331;3.1023
359;3.9189;13.325;3.0913
360;3.9116;13.282;3.0168
361;3.91;13.272;3.0003
362;3.9044;13.24;2.9451
363;3.9;13.215;2.9033
364;3.8971;13.2;2.8763
365;3.89;13.162;2.811
366;3.8899;13.162;2.8102
367;3.8827;13.128;2.7469
368;3.88;13.117;2.7236
369;3.8756;13.1;2.6863
370;3.87;13.083;2.6411
371;3.8684;13.08;2.6284
372;3.8613;13.075;2.5732
373;3.86;13.077;2.5632
374;3.8542;12.908;2.5205
375;3.85;12.888;2.4903
376;3.8472;12.875;2.4705
377;3.8401;12.854;2.4155
378;3.84;12.853;2.4143
379;3.8331;12.826;2.3517
380;3.83;12.594;2.3232
381;3.8261;12.611;2.288
382;3.82;12.621;2.2318
383;3.8192;12.621;2.2244
384;3.8122;12.615;2.1611
385;3.81;12.611;2.1405
386;3.8054;12.599;2.0983
